word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
甘酸,4276,1383,0.013252997111367328,0.019995373449382646,0.41127719532492857,1.5087435152485067
近く,2677,864,0.008297070455362567,0.01249168666685944,0.40916086108880917,1.5055538860448998
非常,4264,1375,0.013215804416012696,0.01987970968394876,0.40828618006009715,1.5042375823799163
評価,4846,1562,0.015019650140712364,0.02258335020096579,0.4078535648282662,1.503586967032688
辛い,9763,3135,0.03025935706227297,0.045325738079403176,0.4040695796464557,1.4979081672529917
タイプ,6264,2001,0.019414586975118088,0.02893039932915016,0.3988682327182005,1.4901372543349816
欲しい,4288,1369,0.01329018980672196,0.019792961859873347,0.3983002583429171,1.489291134868698
苦手,3072,980,0.009521330010785882,0.014168811265650753,0.3975086132021608,1.488112611326374
馳走,3399,1082,0.010534830959199612,0.01564352427493277,0.395370045515417,1.484933582277555
注意,2108,670,0.006533516817297083,0.00968684035508776,0.3938229385288649,1.4826380073657188
幸せ,2334,740,0.007233979246475992,0.010698898302634242,0.3913515091568203,1.4789782964674905
人気,2881,913,0.008929346276391317,0.013200127230141977,0.3908832813155461,1.478285959750756
抜群,3885,1229,0.012041135121062224,0.017768845964780382,0.389117982569393,1.4756786454210042
最近,5816,1838,0.018026059681878478,0.02657375010843478,0.3881054195073832,1.4741851839728046
意味,3494,1102,0.010829273130757119,0.01593268368851748,0.38611963482396394,1.471260674298235
高い,9560,3013,0.029630180632523772,0.04356186565653645,0.38538866888996043,1.4701856258250572
ギン,7419,2335,0.02299438390300145,0.033759361536014804,0.3840077497185779,1.468156819440081
邪魔,2262,711,0.007010823074348198,0.010279617152936413,0.38270790893228107,1.46624968907693
嬉しい,2541,798,0.0078755532413434,0.0115374606020299,0.3818357499347508,1.464971443715598
キョウト,1485,466,0.004602596050135754,0.006737414336523725,0.38105571869395183,1.4638291657867748
期待,7725,2420,0.023942797634544575,0.03498828904374982,0.3793458531898921,1.4613283534280412
好み,15494,4848,0.04802196848538947,0.07009224185293353,0.3781535323624087,1.459587019517096
通り,7816,2426,0.02422484224098387,0.03507503686782523,0.37011103158648284,1.4478953678585726
種類,2701,838,0.008371455846071832,0.012115779429199317,0.36968088249457337,1.447272690912471
シリーズ,6198,1917,0.019210027150667608,0.02771592979209438,0.366574940503057,1.4427845194966924
ニシキ,26681,8240,0.08269485872974548,0.11913367839690021,0.36508877812209795,1.4406418999546295
間違い,3576,1099,0.01108342321568044,0.015889309776479774,0.3601959539153227,1.4336103085913143
本当,6266,1924,0.01942078575767719,0.02781713558684903,0.3593082955186209,1.4323383169938269
珍しい,2192,671,0.00679386568477951,0.009701298325766996,0.3562396247088817,1.4279496792968824
活性,2091,639,0.006480827165544687,0.009238643264031461,0.3545468907540074,1.4255345850216006
可愛い,1870,571,0.005795861692763541,0.00825550125784345,0.3537356356124841,1.4243785817302899
深み,2122,646,0.00657690829521082,0.009339849058786109,0.3507253204137796,1.4200972006234616
料理,8147,2479,0.02525074075451581,0.03584130931382471,0.3502456275296549,1.4194161534613552
良し,3720,1130,0.011529735559936029,0.016337506867536072,0.3485341002443001,1.4169888617659432
発泡,9103,2747,0.028213758817768192,0.039716045455859814,0.34194551339509105,1.4076835955245999
旨口,3252,981,0.010079220441105367,0.014183269236329989,0.341587124702768,1.4071791880339646
頒布,2016,608,0.006248372819578235,0.00879044617297516,0.3413443885800138,1.4068376562665663
大好き,4576,1376,0.014182814495233136,0.019894167654627995,0.3383956212387612,1.4026953297114937
有名,2205,662,0.006834157771413695,0.009571176589653877,0.3368229038611679,1.4004910202232586
酔い,1933,578,0.005991123343375361,0.008356707052598097,0.3327855252691527,1.3948481067141545
食事,5509,1647,0.0170745465590558,0.023812277708700806,0.33261246851002985,1.3946067397070363
濾過,29768,8889,0.09226267960972465,0.12851690136772403,0.33142070202032275,1.3929456841201275
原酒,36892,10992,0.11434274308525806,0.15892201370615622,0.3292131459116272,1.3898740699937402
名前,2913,867,0.009028526797337002,0.012535060578897146,0.32814035562621346,1.3883838260960149
普通,6508,1933,0.020170838447328945,0.02794725732296215,0.32608114667450866,1.3855277952842349
マイ,2408,713,0.007463334201162891,0.010308533094294884,0.3229697497906904,1.3812235679716274
フクシマ,3569,1056,0.01106172747672357,0.01526761703727265,0.32224287658115264,1.3802199583563455
